PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
622,7971033,745404,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100525-01/146260452,,Activator,12.5893,138.146,,43,Partial curve; high efficacy,-4.9,4.095,0.9998,135.79,-2.3554,2.1,0 0 0 0,135.519,,,,,-1.2129,,,,,-2.538,,,,,,26.8158,,,,135.519,,,QC'd by DPISMR
623,7971053,4130088,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100967-01/146412243,,Activator,7.0795,223.557,,47,Partial curve; high efficacy,-5.15,0.8,0.999,206.973,-16.5844,2.1,0 0 0 0,165.844,,,,,0,,,,,42.8642,,,,,,105.83,,,,165.844,,,QC'd by Life Chemicals
624,7971282,2148477,Active,91,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000103599-01/146504151,,Activator,2.2387,196.839,,91,Complete curve; high efficacy,-5.65,0.9,0.9998,196.839,0,1.1,0 0 0 0,184.306,,,,,31.3329,,,,,90.5555,,,,,,154.431,,,,184.306,,,QC'd by Life Chemicals
625,7971313,3243243,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100996-01/146420092,,Activator,12.5893,116.31,,42,Partial curve; high efficacy,-4.9,1.3437,0.9998,107.389,-8.9215,2.1,0 0 0 0,89.9403,,,,,-8.4058,,,,,-0.2383,,,,,,38.0415,,,,89.9403,,,QC'd by Life Chemicals
626,7971666,756676,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000101217-01/146503433,,Activator,6.3096,174.041,,46,Partial curve; high efficacy,-5.2,1.4787,0.9997,170.806,-3.2355,2.1,0 0 0 0,162.672,,,,,0.8967,,,,,20.0325,,,,,,106.124,,,,162.672,,,QC'd by Life Chemicals
627,7971714,861897,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000102913-01/146503630,,Activator,4.4668,153.435,,88,Complete curve; high efficacy,-5.35,2.3531,0.9999,186.893,33.458,1.1,0 0 0 0,186.52,,,,,34.4383,,,,,49.6532,,,,,,163.269,,,,186.52,,,QC'd by Life Chemicals
628,7971725,4067950,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100552-01/146605632,,Activator,3.9811,100.239,,84,Complete curve; high efficacy,-5.4,4.095,0.9999,93.4139,-6.8253,1.1,0 0 0 0,93.2275,,,,,-6.9398,,,,,-2.8909,,,,,,90.9901,,,,93.2275,,,QC'd by Life Chemicals
629,7971767,3588870,Active,51,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000100787-01/146605486,,Activator,2.2387,195.139,,51,Partial curve; high efficacy,-5.65,0.7,0.9985,185.802,-9.337,2.1,0 0 0 0,166.489,,,,,33.1033,,,,,83.5792,,,,,,130.247,,,,166.489,,,QC'd by DPISMR
630,7971771,4144800,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000102878-01/146503670,,Activator,5.0119,184.315,,47,Partial curve; high efficacy,-5.3,1.5936,0.9989,184.315,0,2.1,0 0 0 0,181.77,,,,,1.6556,,,,,33.8604,,,,,,131.057,,,,181.77,,,QC'd by Life Chemicals
631,7971912,348695,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000103357-01/146265645,,Activator,10,137.716,,44,Partial curve; high efficacy,-5,2.4064,0.9991,148.464,10.7472,2.1,0 0 0 0,144.702,,,,,12.7251,,,,,10.3615,,,,,,73.1477,,,,144.702,,,QC'd by Life Chemicals
632,7972027,705882,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112147-01/146263961,,Activator,7.9433,143.24,,44,Partial curve; high efficacy,-5.1,1.331,0.9999,146.434,3.1941,2.1,0 0 0 0,134.097,,,,,6.3343,,,,,20.5879,,,,,,81.654,,,,134.097,,,QC'd by DPISMR
633,7972063,6858836,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111020-01/146326360,,Activator,15.8489,173.217,,43,Partial curve; high efficacy,-4.8,4.095,0.9995,189.534,16.3176,2.1,0 0 0 0,185.818,,,,,14.0537,,,,,16.2346,,,,,,34.8875,,,,185.818,,,QC'd by ChemBridge
634,7972124,2888708,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000110337-01/146430304,,Activator,11.2202,100.455,,42,Partial curve; high efficacy,-4.95,1.6259,1,93.3597,-7.0953,2.1,0 0 0 0,84.1078,,,,,-7.065,,,,,-2.096,,,,,,35.486,,,,84.1078,,,QC'd by ChemBridge
635,7972196,892943,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113735-01/146431147,,Activator,6.3096,139.163,,45,Partial curve; high efficacy,-5.2,1.6604,0.9998,132.123,-7.0399,2.1,0 0 0 0,126.555,,,,,-6.9793,,,,,9.6151,,,,,,84.5065,,,,126.555,,,QC'd by ChemBridge
636,7972257,1325823,Active,92,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113033-01/146315382,,Activator,3.1623,236.389,,92,Complete curve; high efficacy,-5.5,3.5117,0.9991,244.673,8.284,1.1,0 0 0 0,240.928,,,,,7.5,,,,,40.5605,,,,,,244.185,,,,240.928,,,QC'd by DPISMR
637,7972341,2289694,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112504-01/146316427,,Activator,14.1254,251.772,,44,Partial curve; high efficacy,-4.85,1.3437,0.9998,254.917,3.1455,2.1,0 0 0 0,213.498,,,,,3.8017,,,,,20.1681,,,,,,94.5995,,,,213.498,,,QC'd by DPISMR
638,7972465,807554,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112217-01/146316647,,Activator,5.0119,172.931,,47,Partial curve; high efficacy,-5.3,1.5579,1,185.249,12.3185,2.1,0 0 0 0,179.505,,,,,15.2584,,,,,42.1826,,,,,,137.441,,,,179.505,,,QC'd by DPISMR
639,7972472,1107128,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111939-01/146458444,,Activator,10,126.669,,43,Partial curve; high efficacy,-5,4.9549,0.9998,126.739,0.0698,2.1,0 0 0 0,126.486,,,,,1.1738,,,,,-1.0042,,,,,,50.8027,,,,126.486,,,QC'd by ChemBridge
640,7972571,771148,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107998-01/146617520,,Activator,12.5893,154.414,,43,Partial curve; high efficacy,-4.9,4.5045,0.9995,161.434,7.02,2.1,0 0 0 0,161.112,,,,,8.8818,,,,,5.1114,,,,,,36.6149,,,,161.112,,,QC'd by DPISMR
641,7972575,702150,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000108266-01/146520005,,Activator,19.9526,173.433,,42,Partial curve; high efficacy,-4.7,3.2975,0.999,180.718,7.2852,2.1,0 0 0 0,167.332,,,,,5.4371,,,,,7.036,,,,,,22.1334,,,,167.332,,,QC'd by ChemBridge
642,7972591,892736,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113701-01/146517953,,Activator,10,254.158,,46,Partial curve; high efficacy,-5,1.01,1,240.035,-14.1225,2.1,0 0 0 0,195.151,,,,,-5.0939,,,,,25.0922,,,,,,107.297,,,,195.151,,,QC'd by ChemBridge
643,7972616,2840978,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000105862-01/146422406,,Activator,2.8184,184.478,,89,Complete curve; high efficacy,-5.55,1.1705,0.9999,163.807,-20.6709,1.1,0 0 0 0,156.007,,,,,-5.7668,,,,,49.2826,,,,,,127.723,,,,156.007,,,QC'd by DPISMR
644,7972723,875060,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000110316-01/146428418,,Activator,11.2202,125.298,,43,Partial curve; high efficacy,-4.95,4.5045,0.9999,124.366,-0.9319,2.1,0 0 0 0,124.118,,,,,-0.5709,,,,,-1.2992,,,,,,36.6516,,,,124.118,,,QC'd by ChemBridge
645,7972765,732502,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107692-01/146420393,,Activator,3.5481,202.715,,89,Complete curve; high efficacy,-5.45,4.095,0.9995,198.82,-3.8949,1.1,0 0 0 0,202.053,,,,,-4.9709,,,,,9.3368,,,,,,192.291,,,,202.053,,,QC'd by DPISMR
646,7972953,2291818,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112793-01/146315711,,Activator,10,140.221,,43,Partial curve; high efficacy,-5,4.9549,0.9999,139.278,-0.9437,2.1,0 0 0 0,139,,,,,-0.247,,,,,-1.3713,,,,,,55.6163,,,,139,,,QC'd by DPISMR
647,7973052,615208,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104935-01/146321699,,Activator,8.9125,143.196,,44,Partial curve; high efficacy,-5.05,2.3332,0.9997,138.799,-4.3967,2.1,0 0 0 0,136.078,,,,,-3.0841,,,,,-2.1326,,,,,,69.622,,,,136.078,,,QC'd by DPISMR
648,7973053,692689,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000106940-01/146315593,,Activator,11.2202,182.189,,44,Partial curve; high efficacy,-4.95,4.9549,0.9998,180.728,-1.4603,2.1,0 0 0 0,180.368,,,,,0.346,,,,,-1.9767,,,,,,47.8964,,,,180.368,,,QC'd by DPISMR
649,7973057,6865336,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113749-01/146323239,,Activator,11.2202,190.658,,44,Partial curve; high efficacy,-4.95,1.8079,0.9993,192.448,1.7901,2.1,0 0 0 0,179.188,,,,,0.182,,,,,11.6131,,,,,,79.3512,,,,179.188,,,QC'd by ChemBridge
650,7973080,2282389,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000110165-01/146460732,,Activator,7.9433,177.382,,45,Partial curve; high efficacy,-5.1,1.3443,1,174.213,-3.1694,2.1,0 0 0 0,158.663,,,,,0.1923,,,,,18.6034,,,,,,94.0518,,,,158.663,,,QC'd by ChemBridge
651,7973085,1256078,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112692-01/146315829,,Activator,12.5893,122.162,,43,Partial curve; high efficacy,-4.9,4.5045,0.9993,133.902,11.7401,2.1,0 0 0 0,133.635,,,,,10.055,,,,,13.4435,,,,,,36.8408,,,,133.635,,,QC'd by DPISMR
652,7973245,5310659,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104404-01/146523115,,Activator,11.2202,201.339,,45,Partial curve; high efficacy,-4.95,4.9549,0.9992,201.886,0.5473,2.1,0 0 0 0,202.697,,,,,-0.3901,,,,,3.6601,,,,,,52.5004,,,,202.697,,,QC'd by DPISMR
653,7973275,1332671,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113408-01/146519954,,Activator,11.2202,185.503,,44,Partial curve; high efficacy,-4.95,4.9549,0.9991,186.439,0.9357,2.1,0 0 0 0,187.188,,,,,0.0519,,,,,3.5141,,,,,,48.198,,,,187.188,,,QC'd by ChemBridge
654,7973328,878739,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000109651-01/146574256,,Activator,11.2202,133.422,,43,Partial curve; high efficacy,-4.95,4.095,0.9993,137.493,4.0704,2.1,0 0 0 0,137.218,,,,,1.5387,,,,,5.3596,,,,,,46.3215,,,,137.218,,,QC'd by DPISMR
655,7973350,584277,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104534-01/146466572,,Activator,12.5893,100.367,,42,Partial curve; high efficacy,-4.9,4.9549,0.9992,113.776,13.4099,2.1,0 0 0 0,111.546,,,,,14.139,,,,,13.3472,,,,,,30.6684,,,,111.546,,,QC'd by ChemBridge
656,7973370,5310669,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112963-01/146619368,,Activator,11.2202,323.693,,47,Partial curve; high efficacy,-4.95,0.8,0.9994,315.742,-7.9514,2.1,0 0 0 0,239.198,,,,,12.0153,,,,,55.5472,,,,,,138.36,,,,239.198,,,QC'd by DPISMR
657,7973521,805423,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111870-01/146422145,,Activator,12.5893,166.121,,43,Partial curve; high efficacy,-4.9,4.9549,0.9991,167.394,1.2732,2.1,0 0 0 0,164.112,,,,,3.5295,,,,,-0.3091,,,,,,30.0188,,,,164.112,,,QC'd by DPISMR
658,7973534,5724716,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107726-01/146418120,,Activator,11.2202,115.444,,43,Partial curve; high efficacy,-4.95,4.5045,0.9999,113.028,-2.416,2.1,0 0 0 0,112.802,,,,,-2.4937,,,,,-1.7157,,,,,,30.6313,,,,112.802,,,QC'd by DPISMR
659,7973647,2914344,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112331-01/146418122,,Activator,12.5893,114.849,,42,Partial curve; high efficacy,-4.9,4.095,0.9991,118.321,3.4727,2.1,0 0 0 0,117.382,,,,,3.0335,,,,,1.6272,,,,,,30.6582,,,,117.382,,,QC'd by DPISMR
660,7973664,699625,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107642-01/146419164,,Activator,4.4668,124.746,,86,Complete curve; high efficacy,-5.35,2.2481,0.9999,142.649,17.9023,1.1,0 0 0 0,142.364,,,,,18.8996,,,,,32.4931,,,,,,121.15,,,,142.364,,,QC'd by DPISMR
661,7973983,2842749,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000106291-01/146364867,,Activator,3.5481,125.283,,46,Partial curve; high efficacy,-5.45,1.111,1,125.283,0,2.1,0 0 0 0,117.969,,,,,9.4432,,,,,40.8681,,,,,,92.9741,,,,117.969,,,QC'd by DPISMR
662,7973995,750538,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104342-01/146573085,,Activator,7.0795,179.562,,46,Partial curve; high efficacy,-5.15,1.331,0.9999,177.932,-1.6295,2.1,0 0 0 0,164.752,,,,,1.8021,,,,,24.8064,,,,,,103.681,,,,164.752,,,QC'd by DPISMR
663,7974105,872322,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107319-01/146618712,,Activator,11.2202,225.88,,45,Partial curve; high efficacy,-4.95,1.3723,0.9998,228.815,2.9352,2.1,0 0 0 0,199.664,,,,,3.9827,,,,,20.1311,,,,,,102.317,,,,199.664,,,QC'd by ChemBridge
664,7974157,1322658,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111820-01/146514327,,Activator,2.5119,101.63,,85,Complete curve; high efficacy,-5.6,2.2526,0.9993,98.2218,-3.4085,1.1,0 0 0 0,96.8657,,,,,-1.7092,,,,,29.9051,,,,,,94.9599,,,,96.8657,,,QC'd by DPISMR
665,7974170,732222,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000106754-01/146421635,,Activator,3.5481,136.697,,86,Complete curve; high efficacy,-5.45,1.8079,0.9998,134.653,-2.0441,1.1,0 0 0 0,132.794,,,,,-0.043,,,,,29.6942,,,,,,115.27,,,,132.794,,,QC'd by DPISMR
666,7974211,340715,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000109818-01/146466471,,Activator,6.3096,111.95,,44,Partial curve; high efficacy,-5.2,1.3723,0.9999,100.428,-11.521,2.1,0 0 0 0,92.9894,,,,,-9.1751,,,,,5.638,,,,,,59.0758,,,,92.9894,,,QC'd by ChemBridge
667,7974214,1615867,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107592-01/146616946,,Activator,8.9125,144.278,,44,Partial curve; high efficacy,-5.05,1.3723,0.9999,138.45,-5.828,2.1,0 0 0 0,124.73,,,,,-4.3189,,,,,10.0211,,,,,,67.8327,,,,124.73,,,QC'd by ChemBridge
668,7974298,2063466,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113451-01/146571079,,Activator,11.2202,261.884,,46,Partial curve; high efficacy,-4.95,4.095,0.9996,275.089,13.2054,2.1,0 0 0 0,274.54,,,,,10.4324,,,,,16.1488,,,,,,95.2228,,,,274.54,,,QC'd by ChemBridge
669,7974326,2910597,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112113-01/146616543,,Activator,7.9433,168.203,,45,Partial curve; high efficacy,-5.1,1.4641,0.9997,171.268,3.0649,2.1,0 0 0 0,158.581,,,,,5.3372,,,,,19.1859,,,,,,97.7708,,,,158.581,,,QC'd by DPISMR
670,7974427,827914,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000108655-01/146323154,,Activator,10,180.554,,45,Partial curve; high efficacy,-5,4.045,1,181.456,0.9018,2.1,0 0 0 0,181.093,,,,,1.1941,,,,,0.7324,,,,,,76.5214,,,,181.093,,,QC'd by ChemBridge
671,7974516,739397,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000105660-01/146422863,,Activator,3.9811,101.227,,85,Complete curve; high efficacy,-5.4,2.0437,1,106.24,5.0139,1.1,0 0 0 0,106.028,,,,,5.7503,,,,,22.5748,,,,,,90.8701,,,,106.028,,,QC'd by DPISMR
672,7974536,877195,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000109203-01/146625237,,Activator,11.2202,103.045,,42,Partial curve; high efficacy,-4.95,4.095,0.9998,95.1292,-7.9158,2.1,0 0 0 0,94.9393,,,,,-8.7568,,,,,-6.9096,,,,,,23.8754,,,,94.9393,,,QC'd by DPISMR
673,7974870,679960,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107472-01/146618405,,Activator,8.9125,131.568,,44,Partial curve; high efficacy,-5.05,1.5095,1,139.987,8.4185,2.1,0 0 0 0,129.617,,,,,9.3534,,,,,19.1279,,,,,,76.3097,,,,129.617,,,QC'd by DPISMR
674,7974971,802441,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112696-01/146618759,,Activator,4.4668,139.99,,86,Complete curve; high efficacy,-5.35,4.9549,0.999,136.34,-3.6496,1.1,0 0 0 0,136.068,,,,,-0.4159,,,,,-4.8022,,,,,,133.519,,,,136.068,,,QC'd by DPISMR
675,7974977,54706216,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107747-01/146314129,,Activator,10,149.946,,44,Partial curve; high efficacy,-5,2.5884,0.9999,156.616,6.6701,2.1,0 0 0 0,154.454,,,,,6.2298,,,,,9.197,,,,,,72.9382,,,,154.454,,,QC'd by DPISMR
676,7974999,1562746,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111803-01/146267907,,Activator,4.4668,146.696,,86,Complete curve; high efficacy,-5.35,2.0937,0.9999,145.475,-1.2208,1.1,0 0 0 0,144.321,,,,,-1.6255,,,,,19.4066,,,,,,119.584,,,,144.321,,,QC'd by ChemBridge
677,7975052,704474,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000108859-01/146569457,,Activator,3.1623,122.625,,86,Complete curve; high efficacy,-5.5,3.132,0.9999,122.719,0.0946,1.1,0 0 0 0,122.474,,,,,-0.4333,,,,,20.2217,,,,,,118.494,,,,122.474,,,QC'd by ChemBridge
678,7975227,2258047,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107849-01/146619678,,Activator,3.1623,177.337,,89,Complete curve; high efficacy,-5.5,1.4781,1,171.498,-5.8383,1.1,0 0 0 0,168.136,,,,,1.3274,,,,,49.5609,,,,,,141.321,,,,168.136,,,QC'd by DPISMR
679,7975264,888352,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000114052-01/146430404,,Activator,3.9811,144.333,,87,Complete curve; high efficacy,-5.4,1.3443,0.9999,152.305,7.9724,1.1,0 0 0 0,146.73,,,,,13.8561,,,,,45.3914,,,,,,117.679,,,,146.73,,,QC'd by ChemBridge
680,7975282,2165345,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113848-01/146368872,,Activator,12.5893,124.384,,43,Partial curve; high efficacy,-4.9,1.1705,0.9996,133.537,9.1532,2.1,0 0 0 0,111.84,,,,,10.1384,,,,,22.0455,,,,,,59.9929,,,,111.84,,,QC'd by ChemBridge
681,7975313,871057,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107151-01/146263572,,Activator,11.2202,270.472,,46,Partial curve; high efficacy,-4.95,2.0437,0.9998,288.302,17.8298,2.1,0 0 0 0,273.013,,,,,18.301,,,,,22.228,,,,,,127.685,,,,273.013,,,QC'd by DPISMR
682,7975357,743729,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104825-01/146368334,,Activator,2.5119,132.946,,87,Complete curve; high efficacy,-5.6,2.7202,0.9998,119.554,-13.3916,1.1,0 0 0 0,118.605,,,,,-11.7026,,,,,25.7443,,,,,,116.611,,,,118.605,,,QC'd by DPISMR
683,7975361,623689,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000105137-01/146269316,,Activator,4.4668,180.362,,88,Complete curve; high efficacy,-5.35,1.9887,0.9998,194.589,14.2266,1.1,0 0 0 0,194.2,,,,,16.3678,,,,,39.0905,,,,,,159.494,,,,194.2,,,QC'd by ChemBridge
684,7975362,886954,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113625-01/146323378,,Activator,6.3096,218.105,,46,Partial curve; high efficacy,-5.2,1.2475,0.9999,184.494,-33.6108,2.1,0 0 0 0,167.114,,,,,-28.009,,,,,6.1921,,,,,,101.404,,,,167.114,,,QC'd by ChemBridge
685,7975428,5340604,Active,92,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107271-01/146615871,,Activator,2.8184,220.323,,92,Complete curve; high efficacy,-5.55,2.7202,0.9994,234.302,13.9789,1.1,0 0 0 0,231.067,,,,,16.0066,,,,,64.9701,,,,,,228.889,,,,231.067,,,QC'd by DPISMR
686,7975437,1355283,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107745-01/146263793,,Activator,12.5893,271.966,,46,Partial curve; high efficacy,-4.9,4.095,0.9989,277.137,5.1711,2.1,0 0 0 0,274.937,,,,,5.3779,,,,,-0.2777,,,,,,69.5602,,,,274.937,,,QC'd by DPISMR
687,7975449,757542,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000111098-01/146565278,,Activator,11.2202,109.45,,43,Partial curve; high efficacy,-4.95,4.5045,0.9999,116.534,7.0847,2.1,0 0 0 0,116.302,,,,,7.3057,,,,,7.6684,,,,,,38.459,,,,116.302,,,QC'd by ChemBridge
688,7975454,704824,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113316-01/146569285,,Activator,12.5893,106.097,,42,Partial curve; partial efficacy,-4.9,1.1341,0.9996,95.3312,-10.7663,2.2,0 0 0 0,75.8149,,,,,-8.9883,,,,,0.5115,,,,,,31.8574,,,,75.8149,,,QC'd by ChemBridge
689,7975572,1034986,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000104946-01/146462499,,Activator,5.0119,128.825,,45,Partial curve; high efficacy,-5.3,1.3987,0.9986,124.984,-3.8406,2.1,0 0 0 0,122.534,,,,,-0.6345,,,,,21.8925,,,,,,84.6126,,,,122.534,,,QC'd by DPISMR
690,7975592,720218,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000109949-01/146437327,,Activator,7.9433,136.819,,44,Partial curve; high efficacy,-5.1,1.8851,1,129.448,-7.3714,2.1,0 0 0 0,124.709,,,,,-6.6903,,,,,0.7905,,,,,,70.7531,,,,124.709,,,QC'd by DPISMR
691,7975636,797834,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112460-01/146619320,,Activator,4.4668,211.813,,89,Complete curve; high efficacy,-5.35,1.6924,0.9999,220.016,8.2034,1.1,0 0 0 0,215.702,,,,,10.6174,,,,,46.5224,,,,,,173.163,,,,215.702,,,QC'd by DPISMR
692,7975711,2291042,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112565-01/146314981,,Activator,12.5893,185.949,,44,Partial curve; high efficacy,-4.9,1.3437,0.9999,181.362,-4.5875,2.1,0 0 0 0,154.219,,,,,-3.1672,,,,,8.9968,,,,,,68.266,,,,154.219,,,QC'd by DPISMR
693,7975795,803048,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000113130-01/146369317,,Activator,12.5893,279.71,,46,Partial curve; high efficacy,-4.9,1.1341,0.9994,323.474,43.7642,2.1,0 0 0 0,272.284,,,,,47.8527,,,,,74.4533,,,,,,155.771,,,,272.284,,,QC'd by ChemBridge
694,7975871,822828,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000109796-01/146324479,,Activator,2.8184,162.223,,88,Complete curve; high efficacy,-5.55,1.1341,0.9994,145.232,-16.991,1.1,0 0 0 0,139.111,,,,,-2.9154,,,,,46.5668,,,,,,109.788,,,,139.111,,,QC'd by DPISMR
695,7975932,609250,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000112444-01/146263400,,Activator,12.5893,204.683,,44,Partial curve; high efficacy,-4.9,4.9549,0.9993,205.889,1.2062,2.1,0 0 0 0,201.852,,,,,-0.6826,,,,,2.1143,,,,,,38.0048,,,,201.852,,,QC'd by DPISMR
696,7975944,806210,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000107372-01/146313614,,Activator,10,100.66,,43,Partial curve; high efficacy,-5,1.3443,0.9999,107.747,7.0863,2.1,0 0 0 0,96.5473,,,,,8.2731,,,,,17.058,,,,,,54.4972,,,,96.5473,,,QC'd by DPISMR
697,7975988,779968,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000106106-01/146317437,,Activator,7.9433,163.351,,45,Partial curve; high efficacy,-5.1,1.5095,0.9997,161.663,-1.6883,2.1,0 0 0 0,152.225,,,,,-0.1372,,,,,14.8803,,,,,,87.4861,,,,152.225,,,QC'd by DPISMR
